Product_ID,Product_Name,Chocolate_Type,Cocoa_Content,Brand,Origin_Region,Cost
94,XEZ-Chocolate,Dark Chocolate,90,Luxurious and Sweetest Chocolates,Central America,114
80,KUI-Chocolate,Dark Chocolate,89,Luxurious and Sweetest Chocolates,Asia,101
19,VCQ-Chocolate,Dark Chocolate,89,Luxurious and Sweetest Chocolates,Asia,49
87,UDI-Chocolate,Dark Chocolate,89,Craftest Chocolate,Asia,19
25,ZTQ-Chocolate,Dark Chocolate,88,Sweetest Chocolate,South America,114
4,NIR-Chocolate,Dark Chocolate,88,Sweetest Chocolate,Caribbean,90
21,IKU-Chocolate,Dark Chocolate,88,Sweetest Chocolate,Central America,176
49,IBS-Chocolate,Dark Chocolate,88,Craftest Chocolate,Asia,59
38,NDN-Chocolate,Dark Chocolate,88,Master in Chocolate ,Caribbean,166
43,IGT-Chocolate,Dark Chocolate,87,Luxurious and Sweetest Chocolates,South America,81
34,BVK-Chocolate,Dark Chocolate,86,Chocolate is Divine,Africa,142
28,XNZ-Chocolate,Dark Chocolate,85,Master in Chocolate ,Caribbean,149
76,IFV-Chocolate,Dark Chocolate,84,Luxurious and Sweetest Chocolates,Central America,71
56,PEA-Chocolate,Dark Chocolate,84,Chocolate is Divine,Asia,195
5,BVM-Chocolate,Dark Chocolate,83,Master in Chocolate ,Central America,168
20,XSK-Chocolate,Dark Chocolate,83,Luxurious and Sweetest Chocolates,Caribbean,50
32,YNV-Chocolate,Dark Chocolate,83,Chocolate is Divine,Central America,168
83,VHQ-Chocolate,Dark Chocolate,82,Luxurious and Sweetest Chocolates,Asia,37
91,KIS-Chocolate,Dark Chocolate,81,Craftest Chocolate,Caribbean,22
53,LLM-Chocolate,Dark Chocolate,80,Sweetest Chocolate,South America,57
12,SOS-Chocolate,Dark Chocolate,78,Luxurious and Sweetest Chocolates,Caribbean,150
81,ELS-Chocolate,Dark Chocolate,78,Master in Chocolate ,Caribbean,53
54,KAN-Chocolate,Dark Chocolate,77,Sweetest Chocolate,Central America,193
55,OCC-Chocolate,Dark Chocolate,76,Luxurious and Sweetest Chocolates,Caribbean,138
52,RRZ-Chocolate,Dark Chocolate,75,Chocolate is Divine,Caribbean,77
31,YFB-Chocolate,Dark Chocolate,74,Luxurious and Sweetest Chocolates,Africa,94
59,EJS-Chocolate,Dark Chocolate,74,Master in Chocolate ,Central America,51
46,MWS-Chocolate,Dark Chocolate,74,Luxurious and Sweetest Chocolates,Africa,176
36,JWV-Chocolate,Dark Chocolate,74,Sweetest Chocolate,Asia,137
44,MDB-Chocolate,Dark Chocolate,73,Master in Chocolate ,Africa,28
3,GTJ-Chocolate,Dark Chocolate,71,Master in Chocolate ,Asia,43
14,LST-Chocolate,Dark Chocolate,71,Craftest Chocolate,Caribbean,149
47,RTW-Chocolate,Dark Chocolate,69,Craftest Chocolate,Asia,111
99,OSP-Chocolate,Dark Chocolate,67,Craftest Chocolate,Africa,160
24,HBW-Chocolate,Dark Chocolate,66,Sweetest Chocolate,Central America,199
33,ZJR-Chocolate,Dark Chocolate,66,Master in Chocolate ,Caribbean,122
66,RNL-Chocolate,Dark Chocolate,65,Chocolate is Divine,Africa,72
41,WPH-Chocolate,Dark Chocolate,65,Craftest Chocolate,Africa,26
6,IHV-Chocolate,Dark Chocolate,64,Luxurious and Sweetest Chocolates,Caribbean,55
39,PCZ-Chocolate,Dark Chocolate,64,Chocolate is Divine,Central America,148
96,EYV-Chocolate,Dark Chocolate,64,Craftest Chocolate,Asia,178
50,GSW-Chocolate,Dark Chocolate,64,Chocolate is Divine,Caribbean,161
75,XCC-Chocolate,Dark Chocolate,61,Sweetest Chocolate,Africa,51
1,PHO-Chocolate,Dark Chocolate,60,Chocolate is Divine,Central America,32
95,TVU-Chocolate,Dark Chocolate,60,Craftest Chocolate,Africa,142
58,VLQ-Chocolate,Dark Chocolate,59,Luxurious and Sweetest Chocolates,South America,97
11,JLA-Chocolate,Dark Chocolate,59,Craftest Chocolate,Asia,55
10,SEI-Chocolate,Dark Chocolate,58,Chocolate is Divine,Central America,53
23,SDP-Chocolate,Dark Chocolate,58,Sweetest Chocolate,Caribbean,37
61,RDJ-Chocolate,Dark Chocolate,58,Chocolate is Divine,Central America,123
35,YKG-Chocolate,Dark Chocolate,57,Sweetest Chocolate,Caribbean,142
64,LEX-Chocolate,Dark Chocolate,57,Craftest Chocolate,Asia,178
27,QFO-Chocolate,Dark Chocolate,56,Sweetest Chocolate,Caribbean,86
93,TSS-Chocolate,Dark Chocolate,56,Sweetest Chocolate,South America,95
70,SMM-Chocolate,Dark Chocolate,55,Chocolate is Divine,Asia,197
77,TPZ-Chocolate,Dark Chocolate,55,Chocolate is Divine,South America,31
98,BHV-Chocolate,Dark Chocolate,54,Craftest Chocolate,Caribbean,62
67,IQH-Chocolate,Dark Chocolate,53,Craftest Chocolate,Caribbean,18
13,QKK-Chocolate,Dark Chocolate,53,Craftest Chocolate,South America,146
22,RQL-Chocolate,Dark Chocolate,52,Sweetest Chocolate,Caribbean,15
42,FTF-Chocolate,Dark Chocolate,52,Chocolate is Divine,South America,153
65,CYE-Chocolate,Dark Chocolate,51,Craftest Chocolate,Central America,121
51,QWV-Chocolate,Dark Chocolate,50,Craftest Chocolate,Africa,139
69,CEH-Chocolate,Dark Chocolate,50,Luxurious and Sweetest Chocolates,Africa,115
88,EMH-Chocolate,Dark Chocolate,50,Chocolate is Divine,South America,199
15,HTT-Chocolate,Dark Chocolate,49,Luxurious and Sweetest Chocolates,Central America,144
78,SNC-Chocolate,Dark Chocolate,49,Chocolate is Divine,South America,34
40,LJF-Chocolate,White Chocolate,48,Luxurious and Sweetest Chocolates,Asia,47
84,GFV-Chocolate,White Chocolate,47,Sweetest Chocolate,South America,175
9,ZJG-Chocolate,White Chocolate,46,Sweetest Chocolate,Africa,22
7,NUD-Chocolate,White Chocolate,46,Master in Chocolate ,Central America,42
68,CUJ-Chocolate,White Chocolate,45,Sweetest Chocolate,Caribbean,167
29,OHW-Chocolate,White Chocolate,45,Chocolate is Divine,Central America,98
2,EOJ-Chocolate,White Chocolate,44,Chocolate is Divine,Central America,46
100,VEX-Chocolate,White Chocolate,44,Sweetest Chocolate,South America,128
73,LOY-Chocolate,White Chocolate,44,Sweetest Chocolate,Central America,72
17,OKM-Chocolate,White Chocolate,43,Sweetest Chocolate,South America,153
57,WDH-Chocolate,White Chocolate,43,Craftest Chocolate,Caribbean,82
82,OLE-Chocolate,White Chocolate,43,Chocolate is Divine,Asia,80
26,MPL-Chocolate,White Chocolate,42,Chocolate is Divine,Caribbean,144
30,TZY-Chocolate,White Chocolate,42,Craftest Chocolate,South America,150
8,JRD-Chocolate,White Chocolate,41,Craftest Chocolate,Central America,142
72,YZW-Chocolate,White Chocolate,41,Craftest Chocolate,Central America,34
85,ZYM-Chocolate,White Chocolate,41,Master in Chocolate ,Africa,183
16,IIM-Chocolate,Milk Chocolate,40,Master in Chocolate ,Africa,64
92,VOS-Chocolate,Milk Chocolate,40,Luxurious and Sweetest Chocolates,Caribbean,66
79,KCY-Chocolate,Milk Chocolate,40,Chocolate is Divine,South America,160
18,EOD-Chocolate,Milk Chocolate,38,Craftest Chocolate,South America,154
37,QWB-Chocolate,Milk Chocolate,37,Luxurious and Sweetest Chocolates,Asia,171
48,YGL-Chocolate,Milk Chocolate,36,Craftest Chocolate,South America,29
86,XTK-Chocolate,Milk Chocolate,35,Craftest Chocolate,Central America,194
90,NHW-Chocolate,Milk Chocolate,35,Craftest Chocolate,Central America,53
97,BJI-Chocolate,Milk Chocolate,34,Craftest Chocolate,Africa,121
74,OQG-Chocolate,Milk Chocolate,32,Master in Chocolate ,Caribbean,191
71,BIS-Chocolate,Milk Chocolate,32,Sweetest Chocolate,Asia,92
45,PWT-Chocolate,Milk Chocolate,32,Master in Chocolate ,South America,146
62,EHP-Chocolate,Milk Chocolate,31,Luxurious and Sweetest Chocolates,Central America,133
63,RHY-Chocolate,Milk Chocolate,30,Craftest Chocolate,Africa,145
89,FAW-Chocolate,Milk Chocolate,30,Luxurious and Sweetest Chocolates,Caribbean,76
60,XUL-Chocolate,Milk Chocolate,30,Master in Chocolate ,Caribbean,115
