Date,location_id,Product_ID,Customer_ID,Quantity_Sold
12/31/2021,4,66,69,141
12/31/2021,6,18,20,192
12/31/2021,4,93,76,148
12/31/2021,8,50,91,139
12/31/2021,2,71,72,80
12/31/2021,5,13,11,156
12/31/2021,10,2,73,177
12/30/2021,9,46,66,194
12/30/2021,2,64,26,157
12/30/2021,10,76,16,198
12/30/2021,2,18,29,167
12/30/2021,1,6,42,190
12/30/2021,9,33,100,98
12/30/2021,4,15,95,172
12/30/2021,2,94,28,81
12/30/2021,2,18,54,144
12/29/2021,7,22,90,194
12/29/2021,6,85,30,83
12/29/2021,6,16,12,114
12/29/2021,3,91,27,116
12/29/2021,4,53,57,143
12/29/2021,9,73,9,117
12/28/2021,3,32,2,106
12/28/2021,3,98,46,192
12/28/2021,9,91,32,189
12/28/2021,4,27,57,120
12/28/2021,4,89,1,98
12/28/2021,8,40,41,190
12/28/2021,7,19,86,192
12/28/2021,5,76,46,125
12/27/2021,4,7,56,128
12/27/2021,3,80,11,169
12/26/2021,9,19,24,148
12/26/2021,4,4,54,85
12/26/2021,8,13,27,98
12/26/2021,1,12,18,165
12/26/2021,4,29,32,159
12/26/2021,1,19,68,139
12/26/2021,7,63,100,102
12/26/2021,9,36,20,123
12/25/2021,4,1,61,197
12/25/2021,9,23,32,129
12/25/2021,6,22,81,142
12/25/2021,1,33,84,100
12/25/2021,3,13,48,80
12/24/2021,6,94,73,83
12/24/2021,6,25,65,190
12/24/2021,3,36,42,157
12/24/2021,4,78,73,162
12/24/2021,6,17,18,102
12/24/2021,5,39,96,84
12/24/2021,2,81,51,121
12/24/2021,9,94,18,169
12/24/2021,1,11,20,162
12/24/2021,6,9,18,100
12/24/2021,8,77,56,162
12/24/2021,5,28,40,95
12/24/2021,6,24,79,94
12/24/2021,3,63,54,159
12/24/2021,8,63,52,130
12/24/2021,10,16,32,153
12/23/2021,2,77,7,196
12/23/2021,7,51,95,103
12/23/2021,4,86,35,116
12/23/2021,10,55,9,129
12/23/2021,4,12,49,93
12/23/2021,3,88,13,157
12/23/2021,9,51,81,94
12/23/2021,3,43,56,187
12/23/2021,6,8,81,111
12/23/2021,5,28,32,149
12/22/2021,9,100,98,189
12/22/2021,4,100,10,190
12/22/2021,9,61,78,165
12/22/2021,4,28,65,145
12/22/2021,7,6,61,148
12/22/2021,2,60,36,135
12/22/2021,7,37,95,184
12/22/2021,7,12,71,147
12/22/2021,5,98,55,97
12/22/2021,9,15,93,109
12/22/2021,6,39,93,104
12/22/2021,2,77,12,115
12/22/2021,3,63,9,151
12/22/2021,6,65,36,169
12/22/2021,2,96,39,184
12/21/2021,1,15,44,142
12/21/2021,7,100,19,160
12/21/2021,4,80,78,97
12/21/2021,7,92,36,120
12/21/2021,7,73,12,105
12/21/2021,9,18,83,103
12/21/2021,6,84,96,145
12/21/2021,7,15,4,152
12/21/2021,3,34,94,155
12/21/2021,1,58,73,128
12/21/2021,10,15,94,195
12/21/2021,4,100,5,82
12/21/2021,10,92,49,108
12/21/2021,7,33,23,142
12/21/2021,4,45,67,147
12/21/2021,4,37,6,124
12/20/2021,5,60,52,95
12/20/2021,8,73,36,167
12/20/2021,2,47,16,120
12/20/2021,2,13,75,196
12/20/2021,2,46,61,193
12/20/2021,7,22,22,175
12/20/2021,4,84,20,91
12/19/2021,1,49,50,114
12/19/2021,4,76,96,154
12/19/2021,10,96,87,173
12/19/2021,2,90,53,134
12/19/2021,3,32,75,154
12/18/2021,8,33,83,106
12/18/2021,9,25,69,87
12/18/2021,3,19,54,82
12/18/2021,4,56,4,185
12/18/2021,3,79,35,153
12/18/2021,6,28,83,126
12/17/2021,1,73,54,174
12/17/2021,4,92,77,142
12/17/2021,9,7,77,102
12/17/2021,3,4,88,107
12/17/2021,3,29,18,113
12/17/2021,6,96,15,135
12/16/2021,2,7,38,82
12/16/2021,8,99,40,130
12/16/2021,4,6,41,123
12/16/2021,8,32,17,172
12/16/2021,5,73,57,165
12/15/2021,10,46,50,140
12/15/2021,6,88,63,118
12/15/2021,8,89,100,160
12/15/2021,7,16,59,175
12/15/2021,9,30,80,179
12/15/2021,2,96,40,140
12/15/2021,3,75,16,118
12/14/2021,1,82,93,156
12/14/2021,5,52,63,158
12/14/2021,4,67,57,156
12/14/2021,10,34,24,115
12/14/2021,1,3,58,96
12/14/2021,8,28,4,84
12/14/2021,4,11,87,134
12/13/2021,4,70,58,119
12/13/2021,10,30,85,113
12/13/2021,10,100,32,93
12/13/2021,4,92,28,172
12/13/2021,7,50,20,149
12/13/2021,6,92,69,179
12/13/2021,4,14,85,112
12/13/2021,5,27,20,104
12/13/2021,6,4,31,180
12/13/2021,10,9,38,194
12/12/2021,7,5,27,87
12/12/2021,9,56,61,131
12/12/2021,7,82,92,175
12/11/2021,5,73,13,123
12/11/2021,10,50,64,148
12/11/2021,7,69,35,90
12/11/2021,8,13,18,111
12/11/2021,2,83,66,147
12/10/2021,10,5,95,144
12/10/2021,5,66,20,97
12/10/2021,1,75,58,119
12/9/2021,4,67,76,88
12/9/2021,10,77,51,113
12/9/2021,5,17,64,135
12/9/2021,1,6,95,190
12/9/2021,4,71,42,122
12/9/2021,5,44,31,188
12/9/2021,9,41,43,131
12/9/2021,2,44,35,180
12/9/2021,8,49,67,93
12/9/2021,8,39,33,163
12/8/2021,7,67,69,197
12/8/2021,4,68,11,132
12/8/2021,9,100,51,144
12/8/2021,9,80,1,163
12/8/2021,9,78,58,165
12/8/2021,7,33,60,111
12/8/2021,10,24,51,115
12/7/2021,6,50,37,189
12/7/2021,5,26,60,92
12/7/2021,10,88,62,181
12/7/2021,7,10,61,83
12/7/2021,8,47,95,175
12/7/2021,4,82,99,198
12/7/2021,4,77,44,170
12/6/2021,3,40,5,120
12/6/2021,1,33,1,188
12/6/2021,9,67,86,180
12/6/2021,5,20,79,172
12/5/2021,1,34,93,135
12/5/2021,8,37,62,145
12/5/2021,10,73,63,156
12/5/2021,8,32,60,183
12/5/2021,1,55,77,106
12/4/2021,4,60,5,119
12/4/2021,9,40,38,181
12/4/2021,4,52,28,103
12/4/2021,5,45,19,183
12/4/2021,9,71,50,82
12/4/2021,8,14,31,195
12/3/2021,2,58,40,152
12/3/2021,8,34,65,101
12/3/2021,7,58,44,165
12/3/2021,7,28,84,191
12/3/2021,10,90,57,168
12/3/2021,2,18,12,110
12/3/2021,10,49,90,193
12/2/2021,2,1,2,135
12/2/2021,4,41,26,168
12/2/2021,4,98,80,144
12/2/2021,4,58,27,194
12/2/2021,8,23,89,119
12/2/2021,10,31,51,176
12/2/2021,3,75,42,102
12/1/2021,10,59,20,160
12/1/2021,8,100,48,190
12/1/2021,9,66,23,94
12/1/2021,8,50,48,164
12/1/2021,10,75,95,172
12/1/2021,9,98,38,131
11/30/2021,8,54,3,173
11/30/2021,4,48,21,101
11/30/2021,4,61,45,126
11/29/2021,6,75,75,159
11/28/2021,4,46,12,196
11/28/2021,8,40,74,194
11/28/2021,7,63,47,189
11/28/2021,2,25,64,142
11/28/2021,5,37,67,109
11/27/2021,8,37,88,173
11/27/2021,4,93,34,131
11/27/2021,5,7,40,101
11/27/2021,1,62,11,105
11/27/2021,8,54,46,181
11/27/2021,9,74,75,159
11/25/2021,6,68,25,192
11/25/2021,3,63,94,138
11/25/2021,5,87,93,190
11/25/2021,5,22,41,124
11/24/2021,6,78,82,163
11/24/2021,8,76,55,107
11/24/2021,9,59,81,148
11/23/2021,6,69,23,126
11/23/2021,4,1,32,172
11/23/2021,6,87,55,123
11/23/2021,9,12,41,127
11/22/2021,4,51,17,51
11/22/2021,1,15,17,63
11/20/2021,3,23,63,67
11/20/2021,6,3,34,46
11/19/2021,10,42,88,66
11/19/2021,1,33,49,69
11/18/2021,1,86,57,55
11/17/2021,1,47,69,74
11/17/2021,4,84,96,49
11/17/2021,4,80,67,63
11/17/2021,7,43,52,70
11/16/2021,8,38,22,60
11/16/2021,2,40,82,74
11/15/2021,7,38,75,58
11/14/2021,4,91,50,79
11/13/2021,2,16,37,63
11/12/2021,7,45,99,72
11/12/2021,4,73,47,50
11/12/2021,1,43,23,72
11/12/2021,8,86,78,60
11/12/2021,9,72,23,41
11/12/2021,4,62,32,79
11/12/2021,8,88,40,46
11/11/2021,3,47,25,55
11/11/2021,4,4,32,48
11/11/2021,9,5,41,62
11/10/2021,10,12,83,56
11/10/2021,8,42,29,41
11/10/2021,6,96,75,63
11/10/2021,1,98,55,73
11/10/2021,5,51,90,76
11/9/2021,5,52,78,49
11/9/2021,2,41,88,73
11/9/2021,1,92,94,51
11/9/2021,10,93,97,45
11/8/2021,8,43,83,72
11/7/2021,9,29,51,66
11/6/2021,8,12,64,65
11/6/2021,6,5,31,59
11/6/2021,2,61,15,40
11/6/2021,8,44,47,50
11/6/2021,9,65,8,50
11/6/2021,2,66,73,76
11/5/2021,6,73,8,50
11/5/2021,9,16,38,43
11/4/2021,7,22,3,42
11/4/2021,4,46,36,69
11/4/2021,2,37,45,45
11/3/2021,8,6,55,67
11/3/2021,5,93,26,74
11/3/2021,5,74,39,44
11/2/2021,8,39,50,65
11/2/2021,7,42,42,63
11/2/2021,6,32,48,48
11/2/2021,9,43,77,45
11/1/2021,9,82,44,43
10/31/2021,7,74,80,80
10/31/2021,3,24,80,61
10/31/2021,4,92,68,64
10/31/2021,6,41,3,54
10/30/2021,8,65,66,66
10/29/2021,3,83,79,55
10/29/2021,5,46,70,59
10/29/2021,7,27,41,72
10/28/2021,2,78,90,53
10/28/2021,7,30,54,55
10/27/2021,7,100,95,77
10/26/2021,10,1,22,75
10/26/2021,1,46,23,44
10/25/2021,6,12,44,51
10/25/2021,2,3,39,57
10/25/2021,5,5,6,51
10/25/2021,1,51,24,57
10/23/2021,7,29,2,59
10/23/2021,5,4,55,48
10/23/2021,5,24,26,55
10/22/2021,6,79,71,52
10/22/2021,3,84,87,77
10/21/2021,8,2,98,54
10/21/2021,3,2,88,58
10/21/2021,3,21,25,67
10/20/2021,3,14,99,65
10/20/2021,9,11,27,66
10/20/2021,9,20,32,53
10/19/2021,3,6,1,51
10/19/2021,10,23,18,50
10/19/2021,7,82,28,73
10/19/2021,6,15,99,66
10/19/2021,2,94,77,49
10/19/2021,2,30,34,55
10/19/2021,4,85,89,72
10/19/2021,7,32,18,57
10/18/2021,2,4,4,60
10/17/2021,8,99,49,67
10/17/2021,1,39,29,78
10/17/2021,9,84,60,46
10/17/2021,7,2,71,65
10/17/2021,1,74,6,50
10/16/2021,10,36,68,53
10/15/2021,1,18,1,59
10/15/2021,9,49,94,45
10/15/2021,7,3,25,44
10/13/2021,6,91,66,78
10/13/2021,10,8,19,68
10/12/2021,10,53,75,55
10/12/2021,1,5,17,79
10/12/2021,4,80,93,61
10/12/2021,8,21,21,44
10/12/2021,6,33,89,70
10/11/2021,1,68,83,80
10/10/2021,7,10,6,78
10/10/2021,10,85,33,62
10/10/2021,5,28,21,76
10/9/2021,4,4,10,42
10/8/2021,8,57,49,79
10/8/2021,7,64,50,44
10/8/2021,1,48,85,76
10/8/2021,3,23,68,68
10/7/2021,10,66,73,47
10/7/2021,6,96,35,46
10/6/2021,9,41,44,43
10/4/2021,3,56,48,49
10/4/2021,1,78,38,59
10/4/2021,7,8,4,51
10/4/2021,2,89,50,71
10/3/2021,9,70,11,62
10/3/2021,3,58,61,55
10/1/2021,7,20,85,59
10/1/2021,1,27,14,73
10/1/2021,10,14,28,60
10/1/2021,6,35,83,47
10/1/2021,1,58,43,47
9/30/2021,7,86,96,66
9/29/2021,1,99,33,62
9/29/2021,4,90,17,73
9/28/2021,4,40,89,74
9/28/2021,8,46,70,62
9/28/2021,3,40,43,75
9/28/2021,9,49,4,64
9/28/2021,4,73,98,68
9/27/2021,6,27,82,78
9/27/2021,6,32,14,66
9/26/2021,7,5,14,52
9/26/2021,4,45,72,49
9/26/2021,8,36,24,54
9/26/2021,7,32,82,71
9/24/2021,2,65,90,54
9/24/2021,7,93,18,48
9/24/2021,2,8,47,72
9/23/2021,4,100,53,47
9/23/2021,9,76,81,57
9/23/2021,2,51,71,49
9/23/2021,8,71,14,40
9/22/2021,8,60,71,75
9/21/2021,4,21,19,60
9/21/2021,7,46,74,55
9/20/2021,4,68,53,46
9/20/2021,8,17,11,69
9/20/2021,6,23,32,72
9/19/2021,2,43,97,62
9/19/2021,10,59,28,61
9/19/2021,8,61,91,67
9/19/2021,8,24,64,69
9/18/2021,8,58,5,61
9/18/2021,10,4,26,80
9/17/2021,9,25,46,57
9/17/2021,5,41,48,57
9/17/2021,5,83,22,58
9/17/2021,1,79,45,77
9/16/2021,8,61,90,54
9/16/2021,1,4,80,50
9/16/2021,10,59,70,79
9/16/2021,4,65,54,72
9/15/2021,2,75,92,70
9/14/2021,5,47,57,66
9/14/2021,2,10,47,45
9/14/2021,1,10,18,13
9/13/2021,7,97,50,1
9/12/2021,1,10,71,8
9/12/2021,2,63,20,10
9/11/2021,4,4,53,11
9/10/2021,4,44,7,3
9/9/2021,5,25,50,13
9/9/2021,8,36,29,9
9/9/2021,2,65,4,6
9/9/2021,1,19,7,10
9/9/2021,5,9,37,2
9/8/2021,7,5,49,10
9/8/2021,8,85,2,7
9/8/2021,9,94,9,12
9/8/2021,4,89,83,18
9/8/2021,7,90,5,6
9/7/2021,4,89,19,1
9/6/2021,7,32,83,11
9/6/2021,4,47,97,2
9/6/2021,3,22,47,13
9/5/2021,6,59,31,11
9/5/2021,3,11,40,2
9/4/2021,9,35,24,17
9/4/2021,4,79,27,10
9/4/2021,6,47,35,17
9/4/2021,7,15,66,10
9/3/2021,3,65,22,13
9/3/2021,6,52,8,10
9/2/2021,5,37,69,10
9/2/2021,7,1,40,18
9/2/2021,4,34,42,2
8/31/2021,7,43,56,14
8/31/2021,5,87,66,11
8/30/2021,5,48,33,11
8/29/2021,1,96,50,13
8/29/2021,9,27,51,8
8/29/2021,4,89,65,5
8/28/2021,8,5,43,6
8/28/2021,9,53,31,13
8/28/2021,10,13,68,11
8/27/2021,7,40,22,12
8/26/2021,3,83,66,3
8/25/2021,5,85,33,20
8/25/2021,1,21,20,5
8/24/2021,7,100,76,19
8/23/2021,10,71,12,8
8/23/2021,4,87,90,4
8/23/2021,7,22,66,1
8/23/2021,8,65,19,19
8/22/2021,6,78,28,3
8/21/2021,5,91,55,15
8/19/2021,4,57,9,18
8/19/2021,1,73,29,6
